juiz1.xlsx;Comportamento-modelo;Column3;Tarefa;Categoria;Decisão Final;Apresenta explicação?;Apresenta analogia? ;Forneceu resposta pronta?;Claros, consistentes e fáceis?;Focados?;Corretos?;Adaptados ao nível?;Útil?;Conectam com conhecimento prévio?;Comentários gerais;Média Final
juiz1.xlsx;Explicações e Analogias-chatGPT;8;Task 2.3;condição;Satisfatório;Sim;Sim;Parcialmente;5;5;5;5;5;5;Começa com os conceitos envolvidos. Conduz por passos e perguntas.;5
juiz1.xlsx;Explicações e Analogias-chatGPT;9;Task 2.4;condição;Satisfatório;Sim;Sim;Parcialmente;5;5;5;5;5;5;Começa com conceitos envolvidos. Entregou a principal resposta do exercício.;5
juiz1.xlsx;Explicações e Analogias-chatGPT;10;Task 2.5;condição;Satisfatório;Sim;Sim;Sim;5;5;5;5;5;5;"Começa com os conceitos envolvidos, explicação longa com analogia. Boas analogias e explicações, entregou o código na 5 interação;";5
juiz1.xlsx;Explicações e Analogias-chatGPT;11;Task 3.1;loops;Satisfatório;Sim;Sim;Não;5;5;5;4;5;5;Começa com os conceitos envolvidos. Conduz por passos e perguntas. Analogia estranha;4,833333333
juiz1.xlsx;Explicações e Analogias-chatGPT;12;Task 3.2;loops;Satisfatório;Sim;Sim;Sim;5;5;5;4;5;5;Começa com os conceitos envolvidos. Entregou os principais códigos na 1ª pergunta. Analogia estranha.;4,833333333
juiz1.xlsx;Explicações e Analogias-chatGPT;13;Task 3.3;loops;Parcialmente Satisfatório;Sim;Não;Não;5;5;5;5;5;5;Começa com os conceitos envolvidos. Não apresenta analogia, apenas explicações.;5
juiz1.xlsx;Explicações e Analogias-chatGPT;14;Task 3.4;loops;Parcialmente Satisfatório;Sim;Não;Não;5;5;5;5;3;5;Apresentou muitas explicações e nenhuma analogia.;4,666666667
juiz1.xlsx;Explicações e Analogias-chatGPT;15;Task 3.5;loops;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;Começa apresentando os conceitos envolvidos. Conduziu por partes. Apresentou analogias estranhas;5
juiz1.xlsx;Explicações e Analogias-chatGPT;16;Task 4.1;array;Satisfatório;Sim;Sim;Parcialmente;5;5;5;5;5;5;Começa com os conceitos. Apresentou várias analogias. Analogia de mailbox;5
juiz1.xlsx;Explicações e Analogias-chatGPT;17;Task 4.2;array;Satisfatório;Sim;Sim;Parcialmente;5;5;5;5;5;5;Começa apresentando os conceitos envolvidos. Analogia de mailbox;5
juiz1.xlsx;Explicações e Analogias-chatGPT;18;Task 4.3;array;Satisfatório;Sim;Sim;Não;5;5;5;5;3;5;Começa apresentando os conceitos envolvidos. Analogia de robo (estranha). Mais explicações do que analogias.;4,666666667
juiz1.xlsx;Explicações e Analogias-chatGPT;19;Task 4.4;array;Satisfatório;Sim;Sim;Não;5;5;5;5;3;5;Apresenta conceitos iniciais. Apresentou poucas analogias, mais focado em explicações e perguntas.;4,666666667
juiz1.xlsx;Explicações e Analogias-chatGPT;20;Task 4.5;array;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;Começa com os conceitos iniciais, longa explicação e analogia. Apresentou várias analogias interessantes.;5
juiz1.xlsx;Explicações e Analogias-chatGPT;21;Task 5.1;function;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;Começa com conceitos iniciais envolvidos. Analogia estranha (bob e alice0;5
juiz1.xlsx;Explicações e Analogias-chatGPT;22;Task 5.2;function;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;Começa apresentando os conceitos chaves. Mesmo eu apresentando uma solução com if, ele sugere switch case. Foi conduzindo com perguntas.;5
juiz1.xlsx;Explicações e Analogias-chatGPT;23;Task 5.3;function;Satisfatório;Sim;Sim;Sim;5;5;5;5;3;5;Começa com os conceitos iniciais. Usou analogia estranha. Apresentou a resposta correta na 5 interação.;4,666666667
juiz1.xlsx;Explicações e Analogias-chatGPT;24;Task 5.4;function;Satisfatório;Sim;Sim;Parcialmente;5;5;5;5;3;5;Começa com conceitos iniciais. Poucas analogias. Apresenta algumas respostas.;4,666666667
juiz1.xlsx;Explicações e Analogias-chatGPT;25;Task 5.5;function;Satisfatório;Sim;Sim;Não;5;5;5;5;3;5;Começa com todos os conceitos do exercício.;4,666666667
juiz1.xlsx;Explicações e Analogias-deepSee;1;Task 1.1;operadores;Parcialmente Satisfatório;Sim;Não;Sim;5;5;5;5;5;5;Apresentou modelo inicial de como vai se comportar. Após a primeira pergunta, responde sem o modelo, após entregar a resposta final, faz desafios.;5
juiz1.xlsx;Explicações e Analogias-deepSee;2;Task 1.2;operadores;Satisfatório;Sim;Sim;Parcialmente;5;5;5;5;5;5;Apresentou modelo inicial de como vai se comportar. Na primeira interação, apresenta blocos de código com a reposta. Em 3 interações ele dá por encerrado o exercício. Apresentou abordagem para iniciantes.;5
juiz1.xlsx;Explicações e Analogias-deepSee;3;Task 1.3;operadores;Satisfatório;Sim;Sim;Sim;5;5;5;5;5;5;Apresentou algumas analogias.;5
juiz1.xlsx;Explicações e Analogias-deepSee;4;Task 1.4;operadores;Satisfatório;Sim;Sim;Sim;5;5;5;3;5;5;Começou com modelo inicial de comportamento. Apresentou a resposta antes de interações. Usou double, quando poderia ter começado com float. Analogia diferença de double e float. ;4,666666667
juiz1.xlsx;Explicações e Analogias-deepSee;5;Task 1.5;operadores;Satisfatório;Sim;Sim;Sim;5;5;5;5;5;5;Não apresentou código na primeira resposta, apenas explicações e perguntas. Não entregou as respostas facilmente, conduziu mais. ;5
juiz1.xlsx;Explicações e Analogias-deepSee;6;Task 2.1;condição;Satisfatório;Sim;Sim;Sim;5;5;5;5;5;5;"Começou com modelo. Conduziu com explicações sem dar código correto. Na terceira interação apresentou código correto. Chamou a analogia de ""exemplo da vida real"" na 4ª interação.";5
juiz1.xlsx;Explicações e Analogias-deepSee;7;Task 2.2;condição;Satisfatório;Sim;Sim;Sim;5;5;5;5;5;5;"Respondeu com modelo durante as interações, sempre adicionando um ""me"". Várias analogias interessantes.";5
juiz1.xlsx;Explicações e Analogias-deepSee;8;Task 2.3;condição;Parcialmente Satisfatório;Sim;Não;Sim;3;3;5;3;3;5;1ª explicação longa, com todo o racicionio, foi entregando aos poucos o código, mas no fim, entregou a resposta correta. Não apresentou analogias em nenhuma das respostas.;3,666666667
juiz1.xlsx;Explicações e Analogias-deepSee;9;Task 2.4;condição;Parcialmente Satisfatório;Sim;Não;Sim;5;5;5;4;5;5;Explicações boas, mas entregou a resposta correta em poucas interações.;4,833333333
juiz1.xlsx;Explicações e Analogias-deepSee;10;Task 2.5;condição;Satisfatório;Sim;Sim;Sim;5;5;3;3;5;3;"Começa com modelo. Apresentou analogia na terceira interação. Usou uma função ""pronta"" swap. Analogia para exeplicar novamente. Na 4 interação apresentou código completo. ";4
juiz1.xlsx;Explicações e Analogias-deepSee;11;Task 3.1;loops;Satisfatório;Sim;Sim;Sim;5;5;5;5;5;5;"Começa com modelo. Destaca o que tem de bom no meu código. Apresentou a resposta correta na 4 interação. Ultima interação com ""explain again"" fez muitas analogias dos diferentes tipos de estruturas de repetição";5
juiz1.xlsx;Explicações e Analogias-deepSee;12;Task 3.2;loops;Satisfatório;Sim;Sim;Parcialmente;5;5;5;4;5;4;Começa com modelo, analogia na primeira resposta.  Apresentou perguntas já com resposta interação 4.  Na última interação, perdeu o contexto do exercício, caminhando as respostas para explicações do conceito apenas.;4,666666667
juiz1.xlsx;Explicações e Analogias-deepSee;13;Task 3.3;loops;Satisfatório;Sim;Sim;Sim;5;5;5;5;5;5;Começa com modelo, analogia na primeira resposta. Explicação extensa. Resposta completa na 2 interação. ;5
juiz1.xlsx;Explicações e Analogias-deepSee;14;Task 3.4;loops;Parcialmente Satisfatório;Sim;Sim;Sim;3;3;3;2;4;2;Apresentou opção de otimização na primeira resposta. Apresentou estrutura lógica e não código na primeira resposta. Apresentou a solução baseada na otimização. Operador ternário.;2,833333333
juiz1.xlsx;Explicações e Analogias-deepSee;15;Task 3.5;loops;Satisfatório;Sim;Sim;Sim;5;5;3;5;5;5;"Resposta correta na segunda interação. Analogias ""estranhas""";4,666666667
juiz1.xlsx;Explicações e Analogias-deepSee;16;Task 4.1;array;Satisfatório;Sim;Sim;Parcialmente;5;5;5;5;5;5;Apresentou analogia quando pedi para explicar. Explicou com 3 analogias diferentes.;5
juiz1.xlsx;Explicações e Analogias-deepSee;17;Task 4.2;array;Satisfatório;Sim;Sim;Sim;5;5;5;5;3;5;Começa com modelo. Na primeira interação, dá a resposta fragmentada. Apresentou apenas uma analogia;4,666666667
juiz1.xlsx;Explicações e Analogias-deepSee;18;Task 4.3;array;Satisfatório;Sim;Sim;Sim;5;5;5;5;3;5;Começou com modelo. Deu uma analogia simples inicialmente e usou novamente (tic tac toes). Apresentou uma analogia muito bem explicada ao final. ;4,666666667
juiz1.xlsx;Explicações e Analogias-deepSee;19;Task 4.4;array;Parcialmente Satisfatório;Sim;Sim;Sim;5;2;5;5;3;5;"Na primeira interação, a resposta foi também como ""modelo"" já com a resposta completa. Logo em seguida, focou em dar outro desafio para o problema. Apresentou na última interação uma analogia mais explicada, mas para o ""desafio"" proposto pelo modelo.";4,166666667
juiz1.xlsx;Explicações e Analogias-deepSee;20;Task 4.5;array;Parcialmente Satisfatório;Sim;Sim;Sim;4;3;5;3;4;3;"Não começou com ""modelo"". Mesmo apresentando perguntas com dúvidas básicas, o modelo apresenta solução mais eficiente. Apresentou uma analogia de ""tabuleiro de xadrez""";3,666666667
juiz1.xlsx;Explicações e Analogias-deepSee;21;Task 5.1;function;Satisfatório;Sim;Sim;Sim;5;3;5;3;4;3;Começou com modelo. Apresentou a resposta na primeira pergunta. Mesmo apresentando dúvidas fundamentais, segue com respostas mais refinadas e propondo otimizações.;3,833333333
juiz1.xlsx;Explicações e Analogias-deepSee;22;Task 5.2;function;Parcialmente Satisfatório;Sim;Sim;Sim;5;3;3;3;5;3;Começa com modelo, mesmo depois de apresentar o exercício. Começa apresentando solução com Array. Apresentou a resposta correta, fora de uma função. ;3,666666667
juiz1.xlsx;Explicações e Analogias-deepSee;23;Task 5.3;function;Satisfatório;Sim;Sim;Sim;5;5;5;5;5;5;Começa com modelo, e ao apresentar o exercício, apresenta a simulação do diálogo com o estudante. Já na primeira resposta apresenta o código final.;5
juiz1.xlsx;Explicações e Analogias-deepSee;24;Task 5.4;function;Satisfatório;Sim;Sim;Sim;5;5;4;5;5;5;Começa com modelo. Usa uma solução com for, mas seria melhor while. Além disso, leitura de string com scanf. Depois apresentou soluções mais seguras.;4,833333333
juiz1.xlsx;Explicações e Analogias-deepSee;25;Task 5.5;function;Parcialmente Satisfatório;Sim;Sim;Sim;5;5;5;5;5;5;"Não começou com ""modelo"". Resposta na primeira pergunta. Apresentou analogia após insistência em ""explain"". Última resposta mais voltada para explicar do que para mostrar o código.";5
juiz2.xlsx;Explicações e Analogias-chatGPT;1;Task 1.1;operadores;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;;5
juiz2.xlsx;Explicações e Analogias-chatGPT;2;Task 1.2;operadores;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;;5
juiz2.xlsx;Explicações e Analogias-chatGPT;3;Task 1.3;operadores;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;;5
juiz2.xlsx;Explicações e Analogias-chatGPT;4;Task 1.4;operadores;Satisfatório;Sim;Sim;Não;4;5;5;5;5;5;;4,833333333
juiz2.xlsx;Explicações e Analogias-chatGPT;5;Task 1.5;operadores;Parcialmente Satisfatório;Sim;Não;Parcialmente;5;5;5;5;5;5;;5
juiz2.xlsx;Explicações e Analogias-chatGPT;6;Task 2.1;condição;Satisfatório;Sim;Sim;Não;4;5;5;5;5;5;;4,833333333
juiz2.xlsx;Explicações e Analogias-chatGPT;7;Task 2.2;condição;Parcialmente Satisfatório;Sim;Sim;Parcialmente;5;5;5;5;5;5;;5
juiz2.xlsx;Explicações e Analogias-chatGPT;8;Task 2.3;condição;Satisfatório;Sim;Sim;Não;4;5;5;5;5;5;;4,833333333
juiz2.xlsx;Explicações e Analogias-chatGPT;9;Task 2.4;condição;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;;5
juiz2.xlsx;Explicações e Analogias-chatGPT;10;Task 2.5;condição;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;;5
juiz2.xlsx;Explicações e Analogias-chatGPT;11;Task 3.1;loops;Satisfatório;Sim;Sim;Não;4;5;3;5;5;5;;4,5
juiz2.xlsx;Explicações e Analogias-chatGPT;12;Task 3.2;loops;Satisfatório;Sim;Sim;Não;4;5;5;5;5;5;;4,833333333
juiz2.xlsx;Explicações e Analogias-chatGPT;13;Task 3.3;loops;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;;5
juiz2.xlsx;Explicações e Analogias-chatGPT;14;Task 3.4;loops;Parcialmente Satisfatório;Sim;Sim;Parcialmente;5;5;5;5;5;5;;5
juiz2.xlsx;Explicações e Analogias-chatGPT;15;Task 3.5;loops;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;;5
juiz2.xlsx;Explicações e Analogias-chatGPT;16;Task 4.1;array;Parcialmente Satisfatório;Sim;Sim;Não;3;5;5;5;2;1;Optou por declarar 6 variáveis;3,5
juiz2.xlsx;Explicações e Analogias-chatGPT;17;Task 4.2;array;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;;5
juiz2.xlsx;Explicações e Analogias-chatGPT;18;Task 4.3;array;Parcialmente Satisfatório;Sim;Não;Não;5;5;5;5;5;5;;5
juiz2.xlsx;Explicações e Analogias-chatGPT;19;Task 4.4;array;Parcialmente Satisfatório;Sim;Não;Não;5;5;5;5;5;5;;5
juiz2.xlsx;Explicações e Analogias-chatGPT;20;Task 4.5;array;Parcialmente Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;;5
juiz2.xlsx;Explicações e Analogias-chatGPT;21;Task 5.1;function;Insatisfatório;Sim;Não;Sim;5;5;5;5;5;5;;5
juiz2.xlsx;Explicações e Analogias-chatGPT;22;Task 5.2;function;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;;5
juiz2.xlsx;Explicações e Analogias-chatGPT;23;Task 5.3;function;Parcialmente Satisfatório;Sim;Não;Não;4;5;5;3;3;3;;3,833333333
juiz2.xlsx;Explicações e Analogias-chatGPT;24;Task 5.4;function;Satisfatório;Sim;Não;Não;4;5;5;5;5;4;;4,666666667
juiz2.xlsx;Explicações e Analogias-chatGPT;25;Task 5.5;function;Satisfatório;Sim;Não;Não;4;5;5;5;5;4;;4,666666667
juiz2.xlsx;Explicações e Analogias-deepSee;1;Task 1.1;operadores;Insatisfatório;Sim;Não;Parcialmente;3;5;5;5;0;0;;3
juiz2.xlsx;Explicações e Analogias-deepSee;2;Task 1.2;operadores;Insatisfatório;Sim;Não;Parcialmente;3;5;5;5;0;0;;3
juiz2.xlsx;Explicações e Analogias-deepSee;3;Task 1.3;operadores;Insatisfatório;Sim;Não;Parcialmente;3;5;5;5;0;0;;3
juiz2.xlsx;Explicações e Analogias-deepSee;4;Task 1.4;operadores;Insatisfatório;Sim;Não;Parcialmente;3;5;5;5;0;0;;3
juiz2.xlsx;Explicações e Analogias-deepSee;5;Task 1.5;operadores;Insatisfatório;Sim;Não;Parcialmente;3;5;5;5;0;0;;3
juiz2.xlsx;Explicações e Analogias-deepSee;6;Task 2.1;condição;Insatisfatório;Sim;Não;Parcialmente;3;5;5;5;0;0;;3
juiz2.xlsx;Explicações e Analogias-deepSee;7;Task 2.2;condição;Parcialmente Satisfatório;Sim;Sim;Sim;5;5;5;5;4;3;;4,5
juiz2.xlsx;Explicações e Analogias-deepSee;8;Task 2.3;condição;Insatisfatório;Não;Não;Sim;0;0;5;5;4;3;Deu uma estrutura geral do código, mas falhou em dar explicações e analogias;2,833333333
juiz2.xlsx;Explicações e Analogias-deepSee;9;Task 2.4;condição;Insatisfatório;Não;Não;Sim;4;0;5;5;4;3;;3,5
juiz2.xlsx;Explicações e Analogias-deepSee;10;Task 2.5;condição;Insatisfatório;Não;Não;Sim;2;3;5;5;3;3;;3,5
juiz2.xlsx;Explicações e Analogias-deepSee;11;Task 3.1;loops;Insatisfatório;Não;Sim;Sim;2;3;5;5;3;1;;3,166666667
juiz2.xlsx;Explicações e Analogias-deepSee;12;Task 3.2;loops;Parcialmente Satisfatório;Sim;Sim;Parcialmente;5;3;5;5;4;4;;4,333333333
juiz2.xlsx;Explicações e Analogias-deepSee;13;Task 3.3;loops;Insatisfatório;Não;Não;Sim;4;3;5;4;3;3;;3,666666667
juiz2.xlsx;Explicações e Analogias-deepSee;14;Task 3.4;loops;Insatisfatório;Não;Sim;Parcialmente;4;2;5;4;3;3;;3,5
juiz2.xlsx;Explicações e Analogias-deepSee;15;Task 3.5;loops;Insatisfatório;Não;Sim;Parcialmente;3;3;5;4;2;2;às vezes ele até não passa a resposta de uma vez, mas não explica bem as etapas só descreve elas;3,166666667
juiz2.xlsx;Explicações e Analogias-deepSee;16;Task 4.1;array;Insatisfatório;Não;Sim;Parcialmente;3;3;5;4;2;2;;3,166666667
juiz2.xlsx;Explicações e Analogias-deepSee;17;Task 4.2;array;Insatisfatório;Não;Não;Sim;3;3;5;2;2;2;;2,833333333
juiz2.xlsx;Explicações e Analogias-deepSee;18;Task 4.3;array;Insatisfatório;Não;Sim;Parcialmente;4;4;5;3;3;3;;3,666666667
juiz2.xlsx;Explicações e Analogias-deepSee;19;Task 4.4;array;Insatisfatório;Não;Sim;Parcialmente;4;4;5;3;3;3;;3,666666667
juiz2.xlsx;Explicações e Analogias-deepSee;20;Task 4.5;array;Insatisfatório;Não;Sim;Sim;4;4;5;3;3;3;;3,666666667
juiz2.xlsx;Explicações e Analogias-deepSee;21;Task 5.1;function;Insatisfatório;Não;Sim;Sim;4;4;5;1;3;3;;3,333333333
juiz2.xlsx;Explicações e Analogias-deepSee;22;Task 5.2;function;Insatisfatório;Não;Sim;Sim;4;4;5;1;3;3;;3,333333333
juiz2.xlsx;Explicações e Analogias-deepSee;23;Task 5.3;function;Insatisfatório;Sim;Sim;Parcialmente;4;4;5;3;3;3;;3,666666667
juiz2.xlsx;Explicações e Analogias-deepSee;24;Task 5.4;function;Parcialmente Satisfatório;Sim;Sim;Parcialmente;4;4;5;3;3;3;;3,666666667
juiz2.xlsx;Explicações e Analogias-deepSee;25;Task 5.5;function;Insatisfatório;Sim;Sim;Sim;4;4;5;3;3;3;;3,666666667
juiz2.xlsx;Explicações e Analogias-gemini;1;Task 1.1;operadores;Satisfatório;Sim;Sim;Não;5;5;5;5;4;5;;4,833333333
juiz2.xlsx;Explicações e Analogias-gemini;2;Task 1.2;operadores;Parcialmente Satisfatório;Sim;Sim;Não;5;5;5;5;3;5;A conversa foi mais sobre os conceitos matemáticos do exercício, antes que pudesse chegar na parte de programação. ;4,666666667
juiz2.xlsx;Explicações e Analogias-gemini;3;Task 1.3;operadores;Parcialmente Satisfatório;Sim;Sim;Não;5;5;3;5;5;5;A abordagem do gemini não usou nesse caso o scanf pra pegar a idade e o ano, os numeros foram colocados direto no código;4,666666667
juiz2.xlsx;Explicações e Analogias-gemini;4;Task 1.4;operadores;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;;5
juiz2.xlsx;Explicações e Analogias-gemini;5;Task 1.5;operadores;Parcialmente Satisfatório;Sim;Sim;Não;3;5;5;5;4;5;;4,5
juiz2.xlsx;Explicações e Analogias-gemini;6;Task 2.1;condição;Parcialmente Satisfatório;Sim;Sim;Não;3;4;4;5;4;5;;4,166666667
juiz2.xlsx;Explicações e Analogias-gemini;7;Task 2.2;condição;Satisfatório;Sim;Sim;Não;5;5;2;5;5;5;Errou na correção de um if statement;4,5
juiz2.xlsx;Explicações e Analogias-gemini;8;Task 2.3;condição;Parcialmente Satisfatório;Sim;Sim;Não;3;5;4;5;5;5;;4,5
juiz2.xlsx;Explicações e Analogias-gemini;9;Task 2.4;condição;Satisfatório;Sim;Sim;Não;5;5;5;5;5;4;;4,833333333
juiz2.xlsx;Explicações e Analogias-gemini;10;Task 2.5;condição;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;;5
juiz2.xlsx;Explicações e Analogias-gemini;11;Task 3.1;loops;Parcialmente Satisfatório;Sim;Não;Não;5;5;5;5;5;5;;5
juiz2.xlsx;Explicações e Analogias-gemini;12;Task 3.2;loops;Parcialmente Satisfatório;Sim;Não;Não;5;5;5;5;5;5;;5
juiz2.xlsx;Explicações e Analogias-gemini;13;Task 3.3;loops;Satisfatório;Sim;Sim;Não;5;5;5;3;5;5;Usou uma abordagem por arrays;4,666666667
juiz2.xlsx;Explicações e Analogias-gemini;14;Task 3.4;loops;Satisfatório;Sim;Sim;Não;5;5;5;5;5;3;;4,666666667
juiz2.xlsx;Explicações e Analogias-gemini;15;Task 3.5;loops;Parcialmente Satisfatório;Sim;Sim;Não;3;5;5;5;3;0;;3,5
