juiz1.xlsx;Comportamento-modelo;num;Tarefa;Categoria;Decisão Final;Forneceu resposta pronta?;Apresentou uma questão inicial? (wonder);Apresentou contra exemplos para testar a validade da resposta dada? (elenchus);Conduziu apenas com perguntas?;As perguntas foram bem formuladas que incentivam a investigação?;As perguntas promovem pensamento crítico?;Comentários gerais;Média Final
juiz1.xlsx;Método socrático-gemini;24;Task 5.4;function;Satisfatório;Não;5;5;5;5;5;Após prompt, começa com conceito de variáveis. Após exercício, começa com conceito de strings. Conduz com perguntas  trabalhar com strings e percorrer.;5
juiz1.xlsx;Método socrático-gemini;25;Task 5.5;function;Satisfatório;Não;5;5;5;5;5;Após prompt, pergunta sobre qual exercício quero começar. Após execício, começa com estruutra da função. Com as interações, chegamos até a solução da fórmula.;5
juiz1.xlsx;Método socrático-chatGPT;1;Task 1.1;operadores;Satisfatório;Não;5;5;5;5;5;Começa com questão inicial. ;5
juiz1.xlsx;Método socrático-chatGPT;2;Task 1.2;operadores;Satisfatório;Não;5;5;5;5;5;Começa questionando o propósito do uso de float (conceitual);5
juiz1.xlsx;Método socrático-chatGPT;3;Task 1.3;operadores;Satisfatório;Não;5;5;5;5;5;Começa questionando o entendimento do exercício;5
juiz1.xlsx;Método socrático-chatGPT;4;Task 1.4;operadores;Satisfatório;Não;5;5;5;5;5;Começa com entendimento entradas e saídas. Apresenta exemplo;5
juiz1.xlsx;Método socrático-chatGPT;5;Task 1.5;operadores;Satisfatório;Não;5;5;5;5;5;Começa com entendimento. ;5
juiz1.xlsx;Método socrático-chatGPT;6;Task 2.1;condição;Satisfatório;Não;5;5;5;5;5;Começa com função de input. Apresenta explicação e analogia;5
juiz1.xlsx;Método socrático-chatGPT;7;Task 2.2;condição;Satisfatório;Não;5;5;5;5;5;Começa com conceito de odd and even;5
juiz1.xlsx;Método socrático-chatGPT;8;Task 2.3;condição;Satisfatório;Não;5;5;5;5;5;Começa com conceito de positivo. ;5
juiz1.xlsx;Método socrático-chatGPT;9;Task 2.4;condição;Satisfatório;Não;5;3;5;5;5;Começa com conceito de divisibilidade. Após correções de erro, finaliza com pergunta. Apresentou trecho de código como exemplo.;4,6
juiz1.xlsx;Método socrático-chatGPT;10;Task 2.5;condição;Satisfatório;Não;5;3;5;5;5;Começa com a leitura dos 3 números. Faz correçõs do erro e finaliza com pergunta.;4,6
juiz1.xlsx;Método socrático-chatGPT;11;Task 3.1;loops;Satisfatório;Não;5;4;5;5;5;Começa com pergunta sobre conceito. Mesmo com erro, finaliza a correção com pergunta.;4,8
juiz1.xlsx;Método socrático-chatGPT;12;Task 3.2;loops;Satisfatório;Não;5;5;5;5;5;Começa com o conceito. Conduziu o processo de raciocínio por pergutnas.;5
juiz1.xlsx;Método socrático-chatGPT;13;Task 3.3;loops;Satisfatório;Não;5;5;5;5;5;Começa com o conceito de média. Conduziu a solução por perguntas.;5
juiz1.xlsx;Método socrático-chatGPT;14;Task 3.4;loops;Satisfatório;Não;5;5;5;5;5;Começa com o conceito de números primos. Conduziu por perguntas.;5
juiz1.xlsx;Método socrático-chatGPT;15;Task 3.5;loops;Satisfatório;Não;5;5;5;5;5;Começa com entendimento do problema. Conduziu com perguntas o entendimento.;5
juiz1.xlsx;Método socrático-chatGPT;16;Task 4.1;array;Satisfatório;Não;5;3;5;5;5;Começa com entendimento de leitura de dados. Corrige erros e apresenta pergunta;4,6
juiz1.xlsx;Método socrático-chatGPT;17;Task 4.2;array;Satisfatório;Não;5;4;5;5;5;Começa com entendimento de declaração do array.;4,8
juiz1.xlsx;Método socrático-chatGPT;18;Task 4.3;array;Satisfatório;Não;5;4;5;5;5;Começa com entendimento do exercício. Com erros apresenta o erro e sugere solução.;4,8
juiz1.xlsx;Método socrático-chatGPT;19;Task 4.4;array;Satisfatório;Não;5;4;5;5;5;Começa com os conceitos de matriz 3x3. Apesar de explicações, sempre finaliza com pergunta;4,8
juiz1.xlsx;Método socrático-chatGPT;20;Task 4.5;array;Satisfatório;Parcialmente;5;5;5;5;5;"Começa com a diagonal principal. Parcialmente explicou o que diagonal principal. Ele disse ""good question"" para uma não pergunta.";5
juiz1.xlsx;Método socrático-chatGPT;21;Task 5.1;function;Satisfatório;Não;5;5;5;5;5;Começa com o conceito de parâmetros. Perguntas que incentivam pensamento crítico.;5
juiz1.xlsx;Método socrático-chatGPT;22;Task 5.2;function;Satisfatório;Não;5;5;5;5;5;Começa com armazenamento dos nomes dos meses. Indicou solução com array de strings (complexo). Deu exemplo.;5
juiz1.xlsx;Método socrático-chatGPT;23;Task 5.3;function;Satisfatório;Não;5;5;5;5;5;Começa com parâmetros. Conduziu o raciocínio com perguntas.;5
juiz1.xlsx;Método socrático-chatGPT;24;Task 5.4;function;Satisfatório;Não;5;5;5;5;5;Começa com conceito de strings em c. Conduz com perguntas o raciocínio e não entrega a resposta.;5
juiz1.xlsx;Método socrático-chatGPT;25;Task 5.5;function;Satisfatório;Não;5;5;5;5;5;Começa com os tipos de dados dos parametros. Mesmo com insistência em erros, não entrega código final, apenas explicações e finaliza com pergunta.;5
juiz1.xlsx;Método socrático-deepSeek;1;Task 1.1;operadores;Satisfatório;Não;5;5;5;5;5;Começa com modelo de todo simulando um diálogo, apenas com perguntas.;5
juiz1.xlsx;Método socrático-deepSeek;2;Task 1.2;operadores;Satisfatório;Não;5;5;4;5;5;"A maior parte do tempo com perguntas, ""resistiu"" e não entregou resultado final ";4,8
juiz1.xlsx;Método socrático-deepSeek;3;Task 1.3;operadores;Parcialmente Satisfatório;Sim;5;5;4;5;5;Depois do prompt começa com uma pergunta de hello world. Após algumas interações volta a um comportamento de explicações.;4,8
juiz1.xlsx;Método socrático-deepSeek;4;Task 1.4;operadores;Parcialmente Satisfatório;Sim;5;3;3;3;3;Apresentou mais explicações e correções. Várias perguntas por interação. Após algumas interações volta ao comportamento de explicações longas e com código completo.;3,4
juiz1.xlsx;Método socrático-deepSeek;5;Task 1.5;operadores;Insatisfatório;Sim;3;3;3;3;3;Primeira resposta muito parecida com as outras abordagens. Muitas perguntas na mesma resposta.;3
juiz1.xlsx;Método socrático-deepSeek;6;Task 2.1;condição;Parcialmente Satisfatório;Sim;5;3;3;3;3;Apresentou exemplo. Apresentou trechos de código para serem preenchidos. Corrigiu com código.;3,4
juiz1.xlsx;Método socrático-deepSeek;7;Task 2.2;condição;Parcialmente Satisfatório;Sim;3;2;3;3;3;Começou com muitas perguntas. Apresentou resposta correta na 4ª interação. Mais corrigiu do que conduziu com perguntas.;2,8
juiz1.xlsx;Método socrático-deepSeek;8;Task 2.3;condição;Parcialmente Satisfatório;Sim;4;2;3;4;3;Começou com muitas perguntas e depois focou em uma. Quando apresentei erro, corrigiu e não testou. Em uma das respostas fez todas as etapas do método socrático na mesma. Apresentou o código completo corrigido.;3,2
juiz1.xlsx;Método socrático-deepSeek;9;Task 2.4;condição;Insatisfatório;Sim;1;1;1;2;3;Começou com modelo de diálogo e na primeira resposta entregou código completo. Usou muita explicação. Insistiu em dar o código completo.;1,6
juiz1.xlsx;Método socrático-deepSeek;10;Task 2.5;condição;Satisfatório;Não;5;4;4;5;5;Começou com uma pergunta, quando respondi errado, apresentou o erro. Conduziu com perguntas, insistiu na solução com trocas. Na explicação usou analogia.;4,6
juiz1.xlsx;Método socrático-deepSeek;11;Task 3.1;loops;Satisfatório;Sim;5;4;4;4;4;Começa com modelo de diálogo, mas com uma pergunta apenas. Resposta seguinte com muitas perguntas. Apresentou código completo na 4 interação.;4,2
juiz1.xlsx;Método socrático-deepSeek;12;Task 3.2;loops;Satisfatório;Sim;5;4;4;4;4;Começa com uma pergunta. Conduziu bem até a 6 interação, quando entregou o código completo com uma abordagem diferente da que estava sendo proposta e conduzida.;4,2
juiz1.xlsx;Método socrático-deepSeek;13;Task 3.3;loops;Insatisfatório;Sim;2;2;2;0;0;Começa com modelo de diálogo e já entrega o resultado na primeira interação com a mensagem de parabéns ao final da mensagem. Insistiu em comportamento de modelo de diálogo.;1,2
juiz1.xlsx;Método socrático-deepSeek;14;Task 3.4;loops;Satisfatório;Sim;5;5;5;5;5;Conduziu muito bem, na ultima interação (7) apresentou código final;5
juiz1.xlsx;Método socrático-deepSeek;15;Task 3.5;loops;Parcialmente Satisfatório;Sim;3;4;4;5;5;Começa com muitas perguntas. E depois conduz com muitas perguntas na mesma interação.;4,2
juiz1.xlsx;Método socrático-deepSeek;16;Task 4.1;array;Satisfatório;Sim;5;5;5;5;5;Conduziu muito bem! Na interação 7 apresentou o codigo final;5
juiz1.xlsx;Método socrático-deepSeek;17;Task 4.2;array;Parcialmente Satisfatório;Parcialmente;3;4;3;4;4;Começou com todas as perguntas, separadas em passos. Foi corrigindo os erros e apresentando trechos com as correções. Apresentou perguntas junto com respostas.;3,6
juiz1.xlsx;Método socrático-deepSeek;18;Task 4.3;array;Satisfatório;Parcialmente;4;4;4;5;4;Começou com todas as perguntas, separadas em passos, mas retomou a primeira para ser respondida. Corrigiu erros e apresentou exemplos de código.;4,2
juiz1.xlsx;Método socrático-deepSeek;19;Task 4.4;array;Satisfatório;Sim;4;5;4;5;5;Começou com todas as perguntas, separadas em passos, mas retomou a primeira para ser respondida. Apresenta trechos de código com a correção. Apresentou a maior parte do tempo perguntas.;4,6
juiz1.xlsx;Método socrático-deepSeek;20;Task 4.5;array;Satisfatório;Sim;4;5;4;4;4;Começou com todas as perguntas, separadas em passos, mas retomou a primeira para ser respondida. Em geral, boas perguntas, mas muitas em cada interação.;4,2
juiz1.xlsx;Método socrático-deepSeek;21;Task 5.1;function;Satisfatório;Sim;4;3;4;5;5;Começou com todas as perguntas. Acrescentou explicações e exemplos de código e pseudocódigo. Na quinta interação apresentou o código final correto.;4,2
juiz1.xlsx;Método socrático-deepSeek;22;Task 5.2;function;Satisfatório;Sim;5;4;4;4;5;Começou com uma pergunta, apresentou exemplos de códigos, correções, explicações e dicas.;4,4
juiz1.xlsx;Método socrático-deepSeek;23;Task 5.3;function;Satisfatório;Sim;5;4;4;4;4;Começou com uma pergunta. Apresenta trechos de códigos.;4,2
juiz1.xlsx;Método socrático-deepSeek;24;Task 5.4;function;Satisfatório;Parcialmente;5;4;5;5;5;Começou com uma pergunta. Ótimo comportamento, conduzindo com perguntas e fill the blanks;4,8
juiz1.xlsx;Método socrático-deepSeek;25;Task 5.5;function;Parcialmente Satisfatório;Sim;5;4;3;3;3;Começou com uma pergunta. Apresenta correção com código. Apresentou resposta correta na 3 interação.;3,6
juiz2.xlsx;Método socrático-chatGPT;1;Task 1.1;operadores;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Método socrático-chatGPT;2;Task 1.2;operadores;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Método socrático-chatGPT;3;Task 1.3;operadores;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Método socrático-chatGPT;4;Task 1.4;operadores;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Método socrático-chatGPT;5;Task 1.5;operadores;Satisfatório;Não;5;3;5;5;5;;4,6
juiz2.xlsx;Método socrático-chatGPT;6;Task 2.1;condição;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Método socrático-chatGPT;7;Task 2.2;condição;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Método socrático-chatGPT;8;Task 2.3;condição;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Método socrático-chatGPT;9;Task 2.4;condição;Satisfatório;Não;5;3;5;5;5;;4,6
juiz2.xlsx;Método socrático-chatGPT;10;Task 2.5;condição;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Método socrático-chatGPT;11;Task 3.1;loops;Satisfatório;Não;5;3;5;5;5;;4,6
juiz2.xlsx;Método socrático-chatGPT;12;Task 3.2;loops;Satisfatório;Não;5;4;5;5;5;;4,8
juiz2.xlsx;Método socrático-chatGPT;13;Task 3.3;loops;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Método socrático-chatGPT;14;Task 3.4;loops;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Método socrático-chatGPT;15;Task 3.5;loops;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Método socrático-chatGPT;16;Task 4.1;array;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Método socrático-chatGPT;17;Task 4.2;array;Satisfatório;Não;5;2;5;5;5;;4,4
juiz2.xlsx;Método socrático-chatGPT;18;Task 4.3;array;Satisfatório;Não;5;4;5;5;5;;4,8
juiz2.xlsx;Método socrático-chatGPT;19;Task 4.4;array;Satisfatório;Não;5;4;5;5;5;;4,8
juiz2.xlsx;Método socrático-chatGPT;20;Task 4.5;array;Satisfatório;Não;5;3;5;5;5;;4,6
juiz2.xlsx;Método socrático-chatGPT;21;Task 5.1;function;Satisfatório;Não;5;1;5;5;5;;4,2
juiz2.xlsx;Método socrático-chatGPT;22;Task 5.2;function;Satisfatório;Não;5;1;5;5;5;;4,2
juiz2.xlsx;Método socrático-chatGPT;23;Task 5.3;function;Satisfatório;Não;5;3;5;5;5;;4,6
juiz2.xlsx;Método socrático-chatGPT;24;Task 5.4;function;Satisfatório;Não;5;3;5;5;5;;4,6
juiz2.xlsx;Método socrático-chatGPT;25;Task 5.5;function;Satisfatório;Não;5;4;5;5;5;;4,8
juiz2.xlsx;Método socrático-deepSeek;1;Task 1.1;operadores;Insatisfatório;Sim;5;0;3;0;0;;1,6
juiz2.xlsx;Método socrático-deepSeek;2;Task 1.2;operadores;Satisfatório;Não;5;5;5;5;3;As perguntas promovem pensamento crítico, mas as hints entregam a resposta;4,6
juiz2.xlsx;Método socrático-deepSeek;3;Task 1.3;operadores;Satisfatório;Não;5;5;5;5;4;;4,8
juiz2.xlsx;Método socrático-deepSeek;4;Task 1.4;operadores;Satisfatório;Não;5;3;5;5;3;;4,2
juiz2.xlsx;Método socrático-deepSeek;5;Task 1.5;operadores;Satisfatório;Não;5;3;5;4;3;;4
juiz2.xlsx;Método socrático-deepSeek;6;Task 2.1;condição;Parcialmente Satisfatório;Parcialmente;5;3;5;4;3;;4
juiz2.xlsx;Método socrático-deepSeek;7;Task 2.2;condição;Parcialmente Satisfatório;Parcialmente;5;3;5;4;3;;4
juiz2.xlsx;Método socrático-deepSeek;8;Task 2.3;condição;Satisfatório;Não;5;5;5;4;5;;4,8
juiz2.xlsx;Método socrático-deepSeek;9;Task 2.4;condição;Satisfatório;Não;5;5;5;4;5;;4,8
juiz2.xlsx;Método socrático-deepSeek;10;Task 2.5;condição;Parcialmente Satisfatório;Parcialmente;5;3;5;4;3;;4
juiz2.xlsx;Método socrático-deepSeek;11;Task 3.1;loops;Insatisfatório;Sim;5;1;2;4;3;;3
juiz2.xlsx;Método socrático-deepSeek;12;Task 3.2;loops;Insatisfatório;Parcialmente;5;2;4;4;2;;3,4
juiz2.xlsx;Método socrático-deepSeek;13;Task 3.3;loops;Insatisfatório;Parcialmente;3;2;4;4;2;;3
juiz2.xlsx;Método socrático-deepSeek;14;Task 3.4;loops;Parcialmente Satisfatório;Parcialmente;5;3;5;4;3;;4
juiz2.xlsx;Método socrático-deepSeek;15;Task 3.5;loops;Parcialmente Satisfatório;Parcialmente;5;3;5;4;3;;4
juiz2.xlsx;Método socrático-deepSeek;16;Task 4.1;array;Satisfatório;Não;5;4;5;4;5;;4,6
juiz2.xlsx;Método socrático-deepSeek;17;Task 4.2;array;Satisfatório;Não;5;4;5;4;5;;4,6
juiz2.xlsx;Método socrático-deepSeek;18;Task 4.3;array;Insatisfatório;Parcialmente;5;2;2;2;2;Aceitou uma abordagem por array 1D como correta;2,6
juiz2.xlsx;Método socrático-deepSeek;19;Task 4.4;array;Insatisfatório;Sim;5;1;2;4;3;;3
juiz2.xlsx;Método socrático-deepSeek;20;Task 4.5;array;Satisfatório;Não;5;4;5;4;3;;4,2
juiz2.xlsx;Método socrático-deepSeek;21;Task 5.1;function;Satisfatório;Não;5;3;5;2;2;;3,4
juiz2.xlsx;Método socrático-deepSeek;22;Task 5.2;function;Satisfatório;Não;5;3;5;2;2;;3,4
juiz2.xlsx;Método socrático-deepSeek;23;Task 5.3;function;Insatisfatório;Parcialmente;5;2;3;3;2;;3
juiz2.xlsx;Método socrático-deepSeek;24;Task 5.4;function;Parcialmente Satisfatório;Parcialmente;5;3;5;4;3;;4
juiz2.xlsx;Método socrático-deepSeek;25;Task 5.5;function;Parcialmente Satisfatório;Parcialmente;5;3;5;4;3;;4
juiz2.xlsx;Método socrático-gemini;1;Task 1.1;operadores;Satisfatório;Não;5;5;2;5;5;;4,4
juiz2.xlsx;Método socrático-gemini;2;Task 1.2;operadores;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Método socrático-gemini;3;Task 1.3;operadores;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Método socrático-gemini;4;Task 1.4;operadores;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Método socrático-gemini;5;Task 1.5;operadores;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Método socrático-gemini;6;Task 2.1;condição;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Método socrático-gemini;7;Task 2.2;condição;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Método socrático-gemini;8;Task 2.3;condição;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Método socrático-gemini;9;Task 2.4;condição;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Método socrático-gemini;10;Task 2.5;condição;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Método socrático-gemini;11;Task 3.1;loops;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Método socrático-gemini;12;Task 3.2;loops;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Método socrático-gemini;13;Task 3.3;loops;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Método socrático-gemini;14;Task 3.4;loops;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Método socrático-gemini;15;Task 3.5;loops;Satisfatório;Não;5;4;5;4;4;Quando a resposta oferecida é incompleta ou errada, às vezes a LLM não oferece um contra exemplo;4,4
juiz2.xlsx;Método socrático-gemini;16;Task 4.1;array;Parcialmente Satisfatório;Não;5;0;5;5;5;;4
juiz2.xlsx;Método socrático-gemini;17;Task 4.2;array;Parcialmente Satisfatório;Não;5;0;5;5;5;;4
juiz2.xlsx;Método socrático-gemini;18;Task 4.3;array;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Método socrático-gemini;19;Task 4.4;array;Satisfatório;Não;5;3;5;5;5;;4,6
juiz2.xlsx;Método socrático-gemini;20;Task 4.5;array;Parcialmente Satisfatório;Não;5;2;5;5;5;;4,4
juiz2.xlsx;Método socrático-gemini;21;Task 5.1;function;Satisfatório;Não;5;4;5;5;5;;4,8
juiz2.xlsx;Método socrático-gemini;22;Task 5.2;function;Satisfatório;Não;5;3;5;5;5;;4,6
juiz2.xlsx;Método socrático-gemini;23;Task 5.3;function;Parcialmente Satisfatório;Não;5;1;5;5;5;;4,2
juiz2.xlsx;Método socrático-gemini;24;Task 5.4;function;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Método socrático-gemini;25;Task 5.5;function;Satisfatório;Não;5;5;5;5;5;;5
juiz3.xlsx;Método socrático-gemini;1;Task 1.1;operadores;Satisfatório;Não;5;5;5;5;3;Apresenta as novas informações de forma lerda;4,6
juiz3.xlsx;Método socrático-gemini;2;Task 1.2;operadores;Parcialmente Satisfatório;Não;5;4;5;3;2;Perguntas fracas e muito focadas, necessitando muitas mensagens ate convergencia;3,8
juiz3.xlsx;Método socrático-gemini;3;Task 1.3;operadores;Insatisfatório;Não;5;4;5;2;2;Perguntas muito focadas;3,6
juiz3.xlsx;Método socrático-gemini;4;Task 1.4;operadores;Parcialmente Satisfatório;Não;5;3;5;2;2;;3,4
juiz3.xlsx;Método socrático-gemini;5;Task 1.5;operadores;Insatisfatório;Não;5;3;5;2;2;Se focou apenas em scanf;3,4
juiz3.xlsx;Método socrático-gemini;6;Task 2.1;condição;Parcialmente Satisfatório;Não;4;2;5;2;3;Focou em scanf;3,2
juiz3.xlsx;Método socrático-gemini;7;Task 2.2;condição;Satisfatório;Não;5;5;5;5;5;Cobriu a parte matematica e de programacao;5
juiz3.xlsx;Método socrático-gemini;8;Task 2.3;condição;Satisfatório;Não;5;5;5;5;5;;5
juiz3.xlsx;Método socrático-gemini;9;Task 2.4;condição;Satisfatório;Não;5;4;5;4;4;Perguntas curtas e levemente focadas, mas conseguem partir para o proximo topico;4,4
juiz3.xlsx;Método socrático-gemini;10;Task 2.5;condição;Satisfatório;Não;5;5;5;5;5;;5
juiz3.xlsx;Método socrático-gemini;11;Task 3.1;loops;Parcialmente Satisfatório;Não;5;3;5;3;3;;3,8
juiz3.xlsx;Método socrático-gemini;12;Task 3.2;loops;Satisfatório;Não;5;5;5;5;5;Conseguiu nao ficar preso em scanf;5
juiz3.xlsx;Método socrático-gemini;13;Task 3.3;loops;Parcialmente Satisfatório;Não;5;5;5;3;3;;4,2
juiz3.xlsx;Método socrático-gemini;14;Task 3.4;loops;Satisfatório;Não;5;5;5;5;5;Se focou um pouco de mais em numeros primos;5
juiz3.xlsx;Método socrático-gemini;15;Task 3.5;loops;Satisfatório;Não;5;4;5;4;4;Apresentou boa condução de perguntas e quantidade;4,4
juiz3.xlsx;Método socrático-gemini;16;Task 4.1;array;Satisfatório;Não;5;5;5;5;5;;5
juiz3.xlsx;Método socrático-gemini;17;Task 4.2;array;Parcialmente Satisfatório;Não;5;4;5;3;4;Se focou em scanf, mas conseguiu apresentar os outros topicos;4,2
juiz3.xlsx;Método socrático-gemini;18;Task 4.3;array;Insatisfatório;Não;5;3;5;2;2;Se focou muito no conceito de variaveis e scanf;3,4
juiz3.xlsx;Método socrático-gemini;19;Task 4.4;array;Insatisfatório;Não;5;1;5;2;3;Ele se focou em perguntas sobre tipos de dados e mesmo apos respostas corretas continuou se aprofundando no assunto, quando insistindo continuar a questao, ele voltou a pergunta anterior.;3,2
juiz3.xlsx;Método socrático-gemini;20;Task 4.5;array;Satisfatório;Não;5;5;5;5;5;;5
