juiz1.xlsx;Comportamento-modelo;Column3;Tarefa;Categoria;Decisão Final;Forneceu resposta pronta?;Relevantes?;Corretos?;São suficientemente detalhados?;São variados?;Conecta conceitos abstratos e concretos?;Comentários gerais;Média Final
juiz1.xlsx;Exemplos-chatGPT;3;Task 1.3;operadores;Satisfatório;Sim;4;5;5;1;4;Apresentou um exemplo com a resposta na primeira interação. Não corrigiu quando coloquei o ano como constante. ;3,8
juiz1.xlsx;Exemplos-chatGPT;4;Task 1.4;operadores;Satisfatório;Não;5;5;5;1;1;Usou explicação com analogia.;3,4
juiz1.xlsx;Exemplos-chatGPT;5;Task 1.5;operadores;Satisfatório;Não;5;5;5;3;5;"Apesar de eu colocar km como int, ele me elogiou como ""começo perfeito"" e depois me corrige.";4,6
juiz1.xlsx;Exemplos-chatGPT;6;Task 2.1;condição;Satisfatório;Parcialmente;5;5;5;3;4;Dá exemplos com trechos do código no mesmo contexto.;4,4
juiz1.xlsx;Exemplos-chatGPT;7;Task 2.2;condição;Satisfatório;Não;4;5;5;3;3;Apresentou muitas explicações e poucos exemplos.;4
juiz1.xlsx;Exemplos-chatGPT;8;Task 2.3;condição;Satisfatório;Parcialmente;5;5;5;3;5;Exemplo corrigindo os erros;4,6
juiz1.xlsx;Exemplos-chatGPT;9;Task 2.4;condição;Satisfatório;Parcialmente;5;5;5;4;5;Mesmo com insistência de erros e dúvidas, não entregou o resultado.;4,8
juiz1.xlsx;Exemplos-chatGPT;10;Task 2.5;condição;Satisfatório;Não;5;5;5;4;5;Começa com todos os conceitos necessários e apresentou trechos dos códigos com comparação e troca de variáveis. Mesmo com insistência de dúvida, não apresentou o código correto.;4,8
juiz1.xlsx;Exemplos-chatGPT;11;Task 3.1;loops;Satisfatório;Não;5;5;5;5;5;Começa com todos os conceitos necessários. Conduziu a resolução por partes. ;5
juiz1.xlsx;Exemplos-chatGPT;12;Task 3.2;loops;Satisfatório;Parcialmente;5;5;5;5;5;Começa com todos os conceitos necessários, com várias perguntas, depois foca em uma. Conduziu conceito por conceito;5
juiz1.xlsx;Exemplos-chatGPT;13;Task 3.3;loops;Satisfatório;Não;5;5;5;5;5;Começa com todos os conceitos necessários, sugeriu resolver com arrays;5
juiz1.xlsx;Exemplos-chatGPT;14;Task 3.4;loops;Satisfatório;Não;5;5;5;5;5;Começa com várias explicações e perguntas na mesma mensagem.;5
juiz1.xlsx;Exemplos-chatGPT;15;Task 3.5;loops;Satisfatório;Parcialmente;5;5;5;4;5;"Começa explicando os passos necessários. Na primeira interação, entregou o código quase completo. Explicações longas. Apresentou ""teste de mesa""";4,8
juiz1.xlsx;Exemplos-chatGPT;16;Task 4.1;array;Satisfatório;Sim;5;5;5;1;5;Começa explicando os passos necessários. Entregou o código completo na segunda interação.;4,2
juiz1.xlsx;Exemplos-chatGPT;17;Task 4.2;array;Satisfatório;Parcialmente;5;5;5;3;5;Começa explicando os passos necessários. Corrige com códigos e explicações. Dicas;4,6
juiz1.xlsx;Exemplos-chatGPT;18;Task 4.3;array;Satisfatório;Parcialmente;5;5;5;5;5;"Começa destacando os conceitos necessários. Começa apresentando códigos. Quando pedi ""explain"" deu um exemplo/analogia muito bom e detalhado. Usou explicação com teste de mesa";5
juiz1.xlsx;Exemplos-chatGPT;19;Task 4.4;array;Satisfatório;Sim;5;5;5;3;5;Começa destacando os conceitos necessários. Exemplo de códigos com a resposta;4,6
juiz1.xlsx;Exemplos-chatGPT;20;Task 4.5;array;Satisfatório;Sim;5;5;5;4;5;"Começa destacando os conceitos necessários. COrrigiu erros entregando o código com a solução.  Mesmo com erro, apresenta um ""parabéns""";4,8
juiz1.xlsx;Exemplos-chatGPT;21;Task 5.1;function;Parcialmente Satisfatório;Sim;5;5;3;3;3;Começa destacando os conceitos necessários. Apresentou exemplo de função no começo, mas depois focou em perguntas para conduzir;3,8
juiz1.xlsx;Exemplos-chatGPT;22;Task 5.2;function;Satisfatório;Sim;5;5;5;3;5;Começa destacando os conceitos necessários. Dá um exemplo inicial com a resposta parcial do código. Apresentou o código completo.;4,6
juiz1.xlsx;Exemplos-chatGPT;23;Task 5.3;function;Satisfatório;Sim;4;5;5;4;5;Começa destacando os conceitos necessários. Após 5 interações apresentou o código com o resultado. O comportamento foi mais de correções. ;4,6
juiz1.xlsx;Exemplos-chatGPT;24;Task 5.4;function;Satisfatório;Parcialmente;5;5;5;3;5;Começa destacando os conceitos necessários. Na segunda interação apresentou o código com a principal solução. ;4,6
juiz1.xlsx;Exemplos-chatGPT;25;Task 5.5;function;Satisfatório;Sim;5;5;4;3;5;O exemplo é parte do código de resposta. Apresentou resposta correta na 3ª interação.;4,4
juiz1.xlsx;Exemplos-deepSeek;1;Task 1.1;operadores;Satisfatório;Sim;5;5;5;5;4;Explicações com exemplos detalhados, mas com resposta pronta na primeira interação. Na resposta errada, tentou ajudar a encontrar erro, debugando o código;4,8
juiz1.xlsx;Exemplos-deepSeek;2;Task 1.2;operadores;Satisfatório;Sim;5;5;5;5;5;Apesar de dar instruções separadas em passos e com explicações detalhadas, forneceu a resposta na primeira interação. Apesar disso, na continuação da conversa, trouxe exemplos exaustivos para facilitar o entendimento. Escreveu frases inspiradoras  (você está fazendo boas perguntas, é assim que aprendizado acontece);5
juiz1.xlsx;Exemplos-deepSeek;3;Task 1.3;operadores;Satisfatório;Sim;5;5;5;5;5;Apesar de dar instruções detalhadas com exemplos, entregou a resposta do código na primeira interação.;5
juiz1.xlsx;Exemplos-deepSeek;4;Task 1.4;operadores;Satisfatório;Sim;5;5;5;1;5;Instrução detalhada com exemplos de código. Corrigiu os erros fornecendo exemplos com a resolução do exercício. Na última interação, ampliou o escopo do exercício, mas usou array.;4,2
juiz1.xlsx;Exemplos-deepSeek;5;Task 1.5;operadores;Satisfatório;Sim;5;5;5;1;5;Na primeira instrução apresentou o exercício como exemplo, praticamente resolvido. Em seguida, resolveu. Propôs uma continuidade do exercício e seguimos a interação a partir daí. Não deixou claro meu erro na última interação.;4,2
juiz1.xlsx;Exemplos-deepSeek;6;Task 2.1;condição;Satisfatório;Sim;5;5;5;1;5;Na primeira instrução, trouxe roteiro. Explicações bem detalhadas de passo a passo com exemplos. Deu exemplos com trechos em branco para serem completados. Na terceira interação apresentou o código completo com explicações. Adiciona desafios extras.;4,2
juiz1.xlsx;Exemplos-deepSeek;7;Task 2.2;condição;Parcialmente Satisfatório;Sim;5;5;5;1;5;Apresentou exemplos com blocos de código. Fez correções nos pontos de erros. Deu menos exemplos que em outras situações, apenas na primeira interação.;4,2
juiz1.xlsx;Exemplos-deepSeek;8;Task 2.3;condição;Parcialmente Satisfatório;Sim;5;5;5;1;5;Apresentou exemplos com blocos de código parciais nas primeiras interações. Muitas explicações e correções. Desafios finais.;4,2
juiz1.xlsx;Exemplos-deepSeek;9;Task 2.4;condição;Satisfatório;Sim;5;5;5;4;5;Vai apresentando exemplos parciais com a resposta. Corrigindo os erros e apresentando longas explicações.;4,8
juiz1.xlsx;Exemplos-deepSeek;10;Task 2.5;condição;Satisfatório;Sim;5;5;5;4;5;Apresentou exemplos com troca de valores de variáveis. Apresentou a resposta correta na segunda interação. Faz desafios com dicas, com a resposta.;4,8
juiz1.xlsx;Exemplos-deepSeek;11;Task 3.1;loops;Parcialmente Satisfatório;Sim;5;5;5;5;5;Começou apresentando um roteiro do comportamento esperado com possíveis perguntas e respostas do estudante. Apresentou teste de mesa em roteiro de explicações a cada nova interação. Depois de 3 interações voltou a responder sem o roteiro.;5
juiz1.xlsx;Exemplos-deepSeek;12;Task 3.2;loops;Parcialmente Satisfatório;Sim;5;5;5;1;5;"Começou apresentando um roteiro do comportamento esperado com possíveis perguntas e respostas do estudante. Na interação de ""não entendi"" voltou o comportamento. Apresenta mais soluções do que exemplos variados. Não observa a evolução do estudante, mas insiste nas demonstrações e abordagens propostas pelo modelo. Ao final perde o contexto do exercício.";4,2
juiz1.xlsx;Exemplos-deepSeek;13;Task 3.3;loops;Satisfatório;Sim;5;5;5;5;5;Apresentando exemplos com trecho de código e resposta. Apresentou abordagem usando array. Insiste em rodar o código com exemplo. Adicionou máximo e mínimo na 4 interação.;5
juiz1.xlsx;Exemplos-deepSeek;14;Task 3.4;loops;Satisfatório;Sim;5;5;5;5;5;Apresentou otimização do código com raiz quadrada. Apresentou o código correto na segunda interação. Foco maior em explicações e código correto. ;5
juiz1.xlsx;Exemplos-deepSeek;15;Task 3.5;loops;Satisfatório;Sim;5;5;5;5;5;Apresentou roteiro com exemplos de iterações do professor com o estudante. Nas interações seguintes, focou nas correções. Primeira interação deu a resposta correta e completa. Teste de mesa. Apresentou exemplos nas interações seguintes.;5
juiz1.xlsx;Exemplos-deepSeek;16;Task 4.1;array;Satisfatório;Sim;5;5;5;5;5;Apresentou exemplos com a solução e entregou a solução final na primeira interação.;5
juiz1.xlsx;Exemplos-deepSeek;17;Task 4.2;array;Parcialmente Satisfatório;Sim;4;5;4;5;4;Apresentou trecho de exemplos e o código completo na primeira interação. Nas demais interações focou no código completo correto e nas correções pontuais. Usou analogias.;4,4
juiz1.xlsx;Exemplos-deepSeek;18;Task 4.3;array;Satisfatório;Parcialmente;5;5;5;1;5;"Apresentou trechos de exemplos na primeira interação. Conforme foi corrigindo, perdeu o ""contexto"" do exercício";4,2
juiz1.xlsx;Exemplos-deepSeek;19;Task 4.4;array;Satisfatório;Sim;5;5;5;1;5;Apresentou exemplos na primeira interação, mas entregou a resposta completa na segunda pergunta.;4,2
juiz1.xlsx;Exemplos-deepSeek;20;Task 4.5;array;Parcialmente Satisfatório;Sim;3;5;5;3;0;Apresentou código corrigido na primeira pergunta. Não focou em exemplos e sim em correções de código e em seguida e algumas analogias.;3,2
juiz1.xlsx;Exemplos-deepSeek;21;Task 5.1;function;Satisfatório;Sim;5;5;5;5;5;Apresentou código corrigido na primeira pergunta. Exemplos mais variados. Ao final sugere um challenge;5
juiz1.xlsx;Exemplos-deepSeek;22;Task 5.2;function;Parcialmente Satisfatório;Sim;5;5;5;1;5;Entregou a resposta correta na quarta interação. Insistiu na solução com switch case. Não focou em exemplos e sim na correção do código. Apresentou solução com ponteiro.;4,2
juiz1.xlsx;Exemplos-deepSeek;23;Task 5.3;function;Parcialmente Satisfatório;Sim;3;5;5;1;5;Entregou a resposta na primeira pergunta. Concentrou em corrigir o código. A última interação entregou exemplo e explicações mais interessantes.;3,8
juiz1.xlsx;Exemplos-deepSeek;24;Task 5.4;function;Satisfatório;Sim;5;5;5;1;5;Exemplo com parte do código. No fim, apresentou a resposta.;4,2
juiz1.xlsx;Exemplos-deepSeek;25;Task 5.5;function;Satisfatório;Sim;5;5;5;1;5;Entregou a resposta na primeira pergunta. Conseguiu retomar um erro de uma interação anterior. Apresentou um exemplo simples sem conceitos avançados. Concentrou nas correções, mas apresentou exemplos.;4,2
juiz2.xlsx;Exemplos-chatGPT;1;Task 1.1;operadores;Insatisfatório;Sim;0;5;5;0;0;;2
juiz2.xlsx;Exemplos-chatGPT;2;Task 1.2;operadores;Parcialmente Satisfatório;Parcialmente;5;5;5;3;5;;4,6
juiz2.xlsx;Exemplos-chatGPT;3;Task 1.3;operadores;Satisfatório;Não;5;5;5;1;5;;4,2
juiz2.xlsx;Exemplos-chatGPT;4;Task 1.4;operadores;Parcialmente Satisfatório;Parcialmente;5;5;5;0;5;;4
juiz2.xlsx;Exemplos-chatGPT;5;Task 1.5;operadores;Parcialmente Satisfatório;Parcialmente;5;5;5;4;5;;4,8
juiz2.xlsx;Exemplos-chatGPT;6;Task 2.1;condição;Parcialmente Satisfatório;Parcialmente;5;5;5;3;3;;4,2
juiz2.xlsx;Exemplos-chatGPT;7;Task 2.2;condição;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Exemplos-chatGPT;8;Task 2.3;condição;Insatisfatório;Sim;0;5;5;0;0;;2
juiz2.xlsx;Exemplos-chatGPT;9;Task 2.4;condição;Satisfatório;Não;5;5;5;5;0;Explicou bem o exercício, mas antes de finalizá-lo decidiu aprofundar sobre o if;4
juiz2.xlsx;Exemplos-chatGPT;10;Task 2.5;condição;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Exemplos-chatGPT;11;Task 3.1;loops;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Exemplos-chatGPT;12;Task 3.2;loops;Satisfatório;Parcialmente;5;5;5;5;5;;5
juiz2.xlsx;Exemplos-chatGPT;13;Task 3.3;loops;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Exemplos-chatGPT;14;Task 3.4;loops;Satisfatório;Não;5;4;5;3;5;;4,4
juiz2.xlsx;Exemplos-chatGPT;15;Task 3.5;loops;Satisfatório;Não;4;5;5;3;5;;4,4
juiz2.xlsx;Exemplos-chatGPT;16;Task 4.1;array;Insatisfatório;Não;1;3;3;3;1;Não fez uso de arrays;2,2
juiz2.xlsx;Exemplos-chatGPT;17;Task 4.2;array;Parcialmente Satisfatório;Parcialmente;5;4;5;3;5;;4,4
juiz2.xlsx;Exemplos-chatGPT;18;Task 4.3;array;Satisfatório;Não;5;5;5;3;4;;4,4
juiz2.xlsx;Exemplos-chatGPT;19;Task 4.4;array;Satisfatório;Parcialmente;5;5;5;3;4;;4,4
juiz2.xlsx;Exemplos-chatGPT;20;Task 4.5;array;Insatisfatório;Sim;5;5;5;0;0;;3
juiz2.xlsx;Exemplos-chatGPT;21;Task 5.1;function;Satisfatório;Não;5;5;5;3;3;;4,2
juiz2.xlsx;Exemplos-chatGPT;22;Task 5.2;function;Satisfatório;Não;5;5;5;3;4;;4,4
juiz2.xlsx;Exemplos-chatGPT;23;Task 5.3;function;Satisfatório;Não;5;5;5;5;4;;4,8
juiz2.xlsx;Exemplos-chatGPT;24;Task 5.4;function;Satisfatório;Não;5;5;5;5;4;;4,8
juiz2.xlsx;Exemplos-chatGPT;25;Task 5.5;function;Satisfatório;Não;5;5;5;5;4;;4,8
juiz2.xlsx;Exemplos-deepSeek;1;Task 1.1;operadores;Parcialmente Satisfatório;Sim;4;5;5;2;3;Forneceu a resposta pronta após a terceira interação;3,8
juiz2.xlsx;Exemplos-deepSeek;2;Task 1.2;operadores;Insatisfatório;Sim;3;5;5;3;3;Forneceu resposta pronta após segunda interação;3,8
juiz2.xlsx;Exemplos-deepSeek;3;Task 1.3;operadores;Insatisfatório;Sim;3;5;5;4;5;Forneceu resposta pronta após segunda interação;4,4
juiz2.xlsx;Exemplos-deepSeek;4;Task 1.4;operadores;Insatisfatório;Sim;4;3;5;3;0;;3
juiz2.xlsx;Exemplos-deepSeek;5;Task 1.5;operadores;Insatisfatório;Sim;3;5;3;2;0;;2,6
juiz2.xlsx;Exemplos-deepSeek;6;Task 2.1;condição;Insatisfatório;Sim;0;5;5;0;0;;2
juiz2.xlsx;Exemplos-deepSeek;7;Task 2.2;condição;Insatisfatório;Parcialmente;4;5;5;0;0;;2,8
juiz2.xlsx;Exemplos-deepSeek;8;Task 2.3;condição;Insatisfatório;Sim;0;5;5;0;0;Vale pra todos exercícios, mas as respostas da LLM são muito longas e com muitas perguntas. ;2
juiz2.xlsx;Exemplos-deepSeek;9;Task 2.4;condição;Insatisfatório;Sim;0;5;5;0;0;único que citou a lei de morgan, mas não explicou;2
juiz2.xlsx;Exemplos-deepSeek;10;Task 2.5;condição;Insatisfatório;Sim;0;5;5;0;0;;2
juiz2.xlsx;Exemplos-deepSeek;11;Task 3.1;loops;Insatisfatório;Sim;0;5;2;0;0;Apesar de passar por todas etapas, ele não explica loops detalhadamente;1,4
juiz2.xlsx;Exemplos-deepSeek;12;Task 3.2;loops;Insatisfatório;Sim;0;5;2;0;0;;1,4
juiz2.xlsx;Exemplos-deepSeek;13;Task 3.3;loops;Insatisfatório;Sim;0;5;2;0;0;;1,4
juiz2.xlsx;Exemplos-deepSeek;14;Task 3.4;loops;Insatisfatório;Sim;0;5;2;0;0;;1,4
juiz2.xlsx;Exemplos-deepSeek;15;Task 3.5;loops;Insatisfatório;Sim;5;5;2;0;0;;2,4
juiz2.xlsx;Exemplos-deepSeek;16;Task 4.1;array;Insatisfatório;Sim;0;5;2;0;0;;1,4
juiz2.xlsx;Exemplos-deepSeek;17;Task 4.2;array;Insatisfatório;Sim;5;5;2;1;0;;2,6
juiz2.xlsx;Exemplos-deepSeek;18;Task 4.3;array;Insatisfatório;Sim;4;5;2;0;0;;2,2
juiz2.xlsx;Exemplos-deepSeek;19;Task 4.4;array;Insatisfatório;Sim;4;5;2;0;0;;2,2
juiz2.xlsx;Exemplos-deepSeek;20;Task 4.5;array;Parcialmente Satisfatório;Parcialmente;4;5;4;2;0;;3
juiz2.xlsx;Exemplos-deepSeek;21;Task 5.1;function;Parcialmente Satisfatório;Parcialmente;4;5;4;2;0;;3
juiz2.xlsx;Exemplos-deepSeek;22;Task 5.2;function;Insatisfatório;Sim;4;5;2;0;0;;2,2
juiz2.xlsx;Exemplos-deepSeek;23;Task 5.3;function;Insatisfatório;Sim;4;5;2;0;0;;2,2
juiz2.xlsx;Exemplos-deepSeek;24;Task 5.4;function;Parcialmente Satisfatório;Parcialmente;4;5;4;3;3;;3,8
juiz2.xlsx;Exemplos-deepSeek;25;Task 5.5;function;Insatisfatório;Sim;4;5;2;0;0;;2,2
juiz2.xlsx;Exemplos-gemini;1;Task 1.1;operadores;Parcialmente Satisfatório;Não;4;5;3;3;5;Em dez interações, a LLM ensinou mais sobre os conceitos básicos das variáveis, então não houve muito avanço no exercício;4
juiz2.xlsx;Exemplos-gemini;2;Task 1.2;operadores;Satisfatório;Não;5;5;4;5;5;;4,8
juiz2.xlsx;Exemplos-gemini;3;Task 1.3;operadores;Parcialmente Satisfatório;Não;4;5;3;5;5;Igual ao 1.1;4,4
juiz2.xlsx;Exemplos-gemini;4;Task 1.4;operadores;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Exemplos-gemini;5;Task 1.5;operadores;Parcialmente Satisfatório;Não;3;5;4;5;5;Igual ao 1.1;4,4
juiz2.xlsx;Exemplos-gemini;6;Task 2.1;condição;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Exemplos-gemini;7;Task 2.2;condição;Parcialmente Satisfatório;Sim;5;5;5;5;5;;5
juiz2.xlsx;Exemplos-gemini;8;Task 2.3;condição;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Exemplos-gemini;9;Task 2.4;condição;Parcialmente Satisfatório;Não;3;5;5;5;5;;4,6
juiz2.xlsx;Exemplos-gemini;10;Task 2.5;condição;Parcialmente Satisfatório;Não;3;4;4;3;5;Os focos tem sido no geral nos conceitos básicos e não tem interações suficientes para avaliar o exercício;3,8
juiz2.xlsx;Exemplos-gemini;11;Task 3.1;loops;Satisfatório;Não;5;5;5;4;5;;4,8
juiz2.xlsx;Exemplos-gemini;12;Task 3.2;loops;Satisfatório;Não;4;5;5;4;5;;4,6
juiz2.xlsx;Exemplos-gemini;13;Task 3.3;loops;Parcialmente Satisfatório;Não;4;4;5;5;5;A LLM sugeriu o uso de arrays para resolução do exercício;4,6
juiz2.xlsx;Exemplos-gemini;14;Task 3.4;loops;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Exemplos-gemini;15;Task 3.5;loops;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Exemplos-gemini;16;Task 4.1;array;Satisfatório;Não;5;5;5;3;5;;4,6
juiz2.xlsx;Exemplos-gemini;17;Task 4.2;array;Satisfatório;Não;5;4;5;4;5;;4,6
juiz2.xlsx;Exemplos-gemini;18;Task 4.3;array;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Exemplos-gemini;19;Task 4.4;array;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Exemplos-gemini;20;Task 4.5;array;Parcialmente Satisfatório;Não;3;5;5;4;3;;4
juiz2.xlsx;Exemplos-gemini;21;Task 5.1;function;Satisfatório;Não;5;5;4;4;5;;4,6
juiz2.xlsx;Exemplos-gemini;22;Task 5.2;function;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Exemplos-gemini;23;Task 5.3;function;Parcialmente Satisfatório;Não;3;5;5;5;5;Algumas vezes ele começa explicando desde o conceito de variáveis de int e float, outras ele já começa com os conceitos básicos do exercício (imagino que sejam os que possuem operações matemáticas);4,6
juiz2.xlsx;Exemplos-gemini;24;Task 5.4;function;Satisfatório;Não;5;5;5;5;5;;5
juiz2.xlsx;Exemplos-gemini;25;Task 5.5;function;Satisfatório;Não;3;5;5;5;5;;4,6
juiz3.xlsx;Exemplos-gemini;1;Task 1.1;operadores;Insatisfatório;Não;2;3;0;0;3;Nao bons exemplos e nem ajudou a checar a uma conclusao, dentro do numero maximo de prompts;1,6
juiz3.xlsx;Exemplos-gemini;2;Task 1.2;operadores;Parcialmente Satisfatório;Não;4;5;3;3;4;;3,8
juiz3.xlsx;Exemplos-gemini;3;Task 1.3;operadores;Parcialmente Satisfatório;Não;4;5;2;3;5;Pouco de detalhemente e exemplos superficiais;3,8
juiz3.xlsx;Exemplos-gemini;4;Task 1.4;operadores;Satisfatório;Não;4;5;4;3;4;;4
juiz3.xlsx;Exemplos-gemini;5;Task 1.5;operadores;Insatisfatório;Parcialmente;4;3;0;3;4;Ele divergiu do foco e comecou a falar sobre funcoes ao inves de como fazer o exercicio ;2,8
juiz3.xlsx;Exemplos-gemini;6;Task 2.1;condição;Insatisfatório;Não;2;3;0;2;2;Criou um primeiro exemplo e nao conseguiu utilizar outros;1,8
juiz3.xlsx;Exemplos-gemini;7;Task 2.2;condição;Satisfatório;Não;4;4;4;2;4;;3,6
juiz3.xlsx;Exemplos-gemini;8;Task 2.3;condição;Parcialmente Satisfatório;Não;4;5;3;2;5;Dificuldade em variar os exemplos;3,8
juiz3.xlsx;Exemplos-gemini;9;Task 2.4;condição;Satisfatório;Não;5;4;3;2;3;;3,4
juiz3.xlsx;Exemplos-gemini;10;Task 2.5;condição;Satisfatório;Não;4;5;4;3;4;;4
juiz3.xlsx;Exemplos-gemini;11;Task 3.1;loops;Satisfatório;Não;4;5;3;4;5;Apresenta exemplos enxutos;4,2
juiz3.xlsx;Exemplos-gemini;12;Task 3.2;loops;Parcialmente Satisfatório;Não;3;5;3;3;5;Os exemplos não estão tao conectados as perguntas;3,8
juiz3.xlsx;Exemplos-gemini;13;Task 3.3;loops;Insatisfatório;Não;2;2;0;0;5;Não houve exemplificação, apesar de estar com o prompt correto ;1,8
juiz3.xlsx;Exemplos-gemini;14;Task 3.4;loops;Parcialmente Satisfatório;Não;3;2;3;2;4;;2,8
juiz3.xlsx;Exemplos-gemini;15;Task 3.5;loops;Satisfatório;Não;4;5;4;3;5;;4,2
juiz3.xlsx;Exemplos-gemini;16;Task 4.1;array;Satisfatório;Não;4;5;5;4;5;;4,6
